Two Years Before the Mast: A Sailor's Life at Sea,Richard Henry Dana Jr.,1840
She,H. Rider Haggard,1886
Phantastes,George MacDonald,1858
The King in Yellow,Robert W. Chambers,1895
On Liberty,John Stuart Mill,1859
Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,1861
The Interesting Narrative of the Life of Olaudah Equiano: Written by Himself,Olaudah Equiano,1789
Through the Looking-Glass and What Alice Found There,Lewis Carroll,1871
Myths and Legends of China,E.T.C. Werner,1915
"The History of Rasselas, Prince of Abissinia",Samuel Johnson,1759
Jacob's Room,Virginia Woolf,1922
Anne of Avonlea,L.M. Montgomery,1909
The American,Henry James,1877
The Rover Boys at School,Arthur M. Winfield,1899
Wired Love: A Romance of Dots and Dashes,Ella Cheever Thayer,1879
The Tale of Peter Rabbit,Beatrix Potter,1901
Little Men,Louisa May Alcott,1871
The Symposium,Plato,385
Tales of the Jazz Age,F. Scott Fitzgerald,1922
Orlando,Virginia Woolf,1928
The Wisdom of Father Brown,G.K. Chesterton,1914
The Night Land,William Hope Hodgson,1912
Burning Secret,Stefan Zweig,1913
Three Men on the Bummel,Jerome K. Jerome,1900
The Virginian: A Horseman of the Plains,Owen Wister,1902
The Vicar of Wakefield,Oliver Goldsmith,1766
Rose in Bloom,Louisa May Alcott,1876
Ecclesiastical History of the English People,Bede,731
The Vicomte de Bragelonne,Alexandre Dumas,1848
Louise de La Vallière,Alexandre Dumas,1850
"Varney the Vampire; or, The Feast of Blood",James Malcolm Rymer,1845
"The $30,000 Bequest and Other Stories",Mark Twain,1906
The Haunted Man,Charles Dickens,1848
Life on the Mississippi,Mark Twain,1883
On the Decay of the Art of Lying,Mark Twain,1882
Christian Science,Mark Twain,1899
Notes from Underground,Fyodor Dostoyevsky,1864
South: The Story of Shackleton's Last Expedition 1914-1917,Ernest Shackleton,1919
Grimm's Fairy Stories,Jacob Grimm,1812
The Female Quixote,Charlotte Lennox,1752
The Magic of Oz,L. Frank Baum,1919
Tartuffe,Molière,1664
"Plutarch's Lives, Vol 1",Plutarch,100
Eugénie Grandet,Honoré de Balzac,1833
Nana,Émile Zola,1880
Thérèse Raquin,Émile Zola,1867
Lady Molly of Scotland Yard,Emmuska Orczy,1910
Twelfth Night,William Shakespeare,1601
The Seagull,Anton Chekhov,1895
Oedipus Rex,Sophocles,450
The Secret Agent,Joseph Conrad,1907
Othello,William Shakespeare,1603
"Billy Budd, Sailor",Herman Melville,1924
The Monkey's Paw,W.W. Jacobs,1902
Demons,Fyodor Dostoyevsky,1872
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1795
A Tramp Abroad,Mark Twain,1880
L'Assommoir (The Dram Shop),Émile Zola,1877
Germinal,Émile Zola,1885
The Mayor of Casterbridge,Thomas Hardy,1886
Macbeth,William Shakespeare,1606
The Playboy of the Western World,J.M. Synge,1907
Childe Harold's Pilgrimage,George Gordon Byron,1812
The Golden Bowl,Henry James,1904
The Wings of the Dove,Henry James,1901
Democracy in America,Alexis de Tocqueville,1840
Daniel Deronda,George Eliot,1876
Mary Barton,Elizabeth Gaskell,1848
Women in Love,D.H. Lawrence,1920
She Stoops to Conquer,Oliver Goldsmith,1773
Five Little Peppers and How They Grew,Margaret Sidney,1881
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,1485
Medea,Euripides,431
The Complete Stories and Poems,Edgar Allan Poe,1966
Poetics,Aristotle,335
Faust,Johann Wolfgang von Goethe,1832
Hippolytus,Euripides,428
Thus Spoke Zarathustra,Friedrich Nietzsche,1883
The Red Lily,Anatole France,1894
The Faerie Queene,Edmund Spenser,1590
"Queen Margot, or Marguerite de Valois",Alexandre Dumas,1845
The Decameron,Giovanni Boccaccio,1353
Journey to the Center of the Earth,Jules Verne,1864
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary Rowlandson,1682
سيكولوجية الجماهير,Gustave Le Bon,1895
"The Lady With the Little Dog and Other Stories, 1896-1904",Anton Chekhov,1904
Futility or the Wreck of the Titan,Morgan Robertson,1898
The Castle,Franz Kafka,1926
Round the Moon,Jules Verne,1870
The Law,Frédéric Bastiat,1849
Thelma,Marie Corelli,1887
"The Sorrows of Satan or The Strange Experience of One Geoffrey Tempest, Millionaire",Marie Corelli,1895
The Wheat Princess,Jean Webster,1905
Family Happiness,Leo Tolstoy,1859
Freckles,Gene Stratton-Porter,1904
Jude the Obscure,Thomas Hardy,1895
Crome Yellow,Aldous Huxley,1921
Raffles: The Amateur Cracksman,E.W. Hornung,1898
Sartor Resartus,Thomas Carlyle,1834
Confessions,Jean-Jacques Rousseau,1789
The Four Pools Mystery,Jean Webster,1908
Goblin Market,Christina Rossetti,1862
Camilla,Fanny Burney,1796
Washington Square,Henry James,1880
No Name,Wilkie Collins,1862
Sons and Lovers,D.H. Lawrence,1913
The Return of the Native,Thomas Hardy,1878
Summer,Edith Wharton,1917
An Ideal Husband,Oscar Wilde,1893
Typee: A Peep at Polynesian Life,Herman Melville,1846
"Arsène Lupin, Gentleman-Thief",Maurice Leblanc,1907
Bel-Ami,Guy de Maupassant,1885
"Clarissa, or, the History of a Young Lady",Samuel Richardson,1748
A Hero of Our Time,Mikhail Lermontov,1840
The Black Moth,Georgette Heyer,1921
Of Human Bondage,W. Somerset Maugham,1915
This Side of Paradise,F. Scott Fitzgerald,1920
The Wrong Box,Robert Louis Stevenson,1889
A Sentimental Journey,Laurence Sterne,1768
The Phantom of the Opera,Gaston Leroux,1910
"Pamela; or, Virtue Rewarded",Samuel Richardson,1740
Just Patty,Jean Webster,1911
The Mystery of Dr. Fu-Manchu,Sax Rohmer,1913
The Way We Live Now,Anthony Trollope,1875
Omoo: A Narrative of Adventures in the South Seas,Herman Melville,1847
When Patty Went to College,Jean Webster,1903
Romola,George Eliot,1863
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,1892
Ben-Hur: A Tale of the Christ,Lew Wallace,1880
The Return of the Soldier,Rebecca West,1918
The Nibelungenlied,Unknown,1200
In a Glass Darkly,J. Sheridan Le Fanu,1872
East Lynne,Ellen Price Wood,1861
Armadale,Wilkie Collins,1866
The Cricket on the Hearth,Charles Dickens,1845
Sylvie and Bruno,Lewis Carroll,1889
The Beasts of Tarzan,Edgar Rice Burroughs,1914
The Night Before Christmas,Clement C. Moore,1823
"Winesburg, Ohio",Sherwood Anderson,1919
"Fanny Hill, or Memoirs of a Woman of Pleasure",John Cleland,1748
The Man That Corrupted Hadleyburg,Mark Twain,1898
The Book of Dragons,E. Nesbit,1899
The Good Soldier,Ford Madox Ford,1915
De Profundis,Oscar Wilde,1905
Beowulf,Unknown,975
American Notes For General Circulation,Charles Dickens,1842
Set in Silver,C.N. Williamson,1909
The Coral Island,R.M. Ballantyne,1857
Planet of the Damned,Harry Harrison,1962
A House to Let,Charles Dickens,1858
Poor Miss Finch,Wilkie Collins,1872
My Bondage and My Freedom,Frederick Douglass,1855
The Red Fairy Book,Andrew Lang,1890
The Mystery of the Yellow Room,Gaston Leroux,1908
The Red House Mystery,A.A. Milne,1922
The Expedition of Humphry Clinker,Tobias Smollett,1771
Aurora Floyd,Mary Elizabeth Braddon,1863
Can You Forgive Her?,Anthony Trollope,1865
Belinda,Maria Edgeworth,1801
Melmoth the Wanderer,Charles Robert Maturin,1820
For the School Colours,Angela Brazil,1918
At Boarding School With the Tucker Twins,Nell Speed,1915
Molly Brown's Freshman Days,Nell Speed,1912
"Betty Wales, Freshman",Margaret Warde,1904
Patty's Summer Days,Carolyn Wells,1906
Patty at Home,Carolyn Wells,1902
Patty's Friends,Carolyn Wells,1908
His Last Bow,Arthur Conan Doyle,1917
The Adventure of the Cardboard Box,Arthur Conan Doyle,1892
Lord Loveland Discovers America,C.N. Williamson,1908
Olive,Dinah Maria Mulock Craik,2000
Anthem,Ayn Rand,1938
Pollyanna,Eleanor H. Porter,1912
Looking Backward: 2000-1887,Edward Bellamy,1888
The Warlord of Mars,Edgar Rice Burroughs,1914
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,1886
The Law and the Lady,Wilkie Collins,1875
The Admirable Crichton,J.M. Barrie,1902
The Merry Adventures of Robin Hood,Howard Pyle,1883
Erewhon,Samuel Butler,1872
"Tom Sawyer, Detective",Mark Twain,1896
The Tale of Jemima Puddle-Duck,Beatrix Potter,1908
The Tale of Johnny Town-Mouse,Beatrix Potter,1918
The Tale of Ginger and Pickles,Beatrix Potter,1909
The Tale of Benjamin Bunny,Beatrix Potter,1904
A House-Boat on the Styx,John Kendrick Bangs,1895
The Mysterious Island,Jules Verne,1874
1984,George Orwell,1949
Buddenbrooks: The Decline of a Family,Thomas Mann,1901
Ozma of Oz,L. Frank Baum,1907
2BR02B,Kurt Vonnegut,1962
Once on a Time,A.A. Milne,1917
Elective Affinities,Johann Wolfgang von Goethe,1809
The White Company,Arthur Conan Doyle,1891
The Bride of the Tomb & Queenie's Terrible Secret,Mrs. Alex. McVeigh Miller,1883
Little Golden's Daughter,Mrs. Alex. McVeigh Miller,1901
Lorna Doone,R.D. Blackmore,1869
Little Dorrit,Charles Dickens,1855
Home of the Gentry,Ivan Turgenev,1859
The Napoleon of Notting Hill,G.K. Chesterton,1904
The Door in the Wall and Other Stories,H.G. Wells,1911
The Light Princess,George MacDonald,1864
A Dreadful Temptation,Mrs. Alex. McVeigh Miller,1883
"Kathleen's Diamonds, or, She loved a handsome actor",Mrs. Alex. McVeigh Miller,1891
Figures of Earth,James Branch Cabell,2004
We,Yevgeny Zamyatin,1924
The Old Peabody Pew: A Christmas Romance of a Country Church,Kate Douglas Wiggin,1907
The Little Hunchback Zia,Frances Hodgson Burnett,1916
All Things Considered,G.K. Chesterton,1908
The Girl Warriors: A Book for Girls,Adene Williams,1901
O Pioneers!,Willa Cather,1913
The Sea Wolf,Jack London,1904
The People of the Mist,H. Rider Haggard,1894
The Quest of the Sacred Slipper,Sax Rohmer,1914
The Hand of Ethelberta,Thomas Hardy,1876
"The Grey Woman, And Other Tales",Elizabeth Gaskell,-1
Moonfleet,John Meade Falkner,1898
The Frozen Deep,Wilkie Collins,1874
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1798
The Shuttle,Frances Hodgson Burnett,1906
The Agony Column,Earl Derr Biggers,1916
Blackthorn Farm,Arthur Applin,1915
"Patricia Brent, Spinster",Herbert Jenkins,1918
The Fall of the House of Usher,Edgar Allan Poe,1839
Rip Van Winkle,Washington Irving,1819
Daisy Miller,Henry James,1878
The Minister's Black Veil,Nathaniel Hawthorne,1836
The Odd Women,George Gissing,1893
The Nun,Denis Diderot,1796
The Purple Cloud (Frontiers of Imagination),M.P. Shiel,1901
The Professor,Charlotte Brontë,1857
The Tale of Mr. Tod,Beatrix Potter,1912
Romeo and Juliet,William Shakespeare,1597
The Canterbury Tales,Geoffrey Chaucer,1390
Grimm Tales Made Gay,Guy Wetmore Carryl,1902
The Tunnel Under the World,Frederik Pohl,1955
Little Fuzzy,H. Beam Piper,1962
Père Goriot,Honoré de Balzac,1834
Bab: A Sub-Deb,Mary Roberts Rinehart,1916
The Marvelous Land of Oz,L. Frank Baum,1904
Alice Adams,Booth Tarkington,1921
Deathworld 1,Harry Harrison,1960
The Good Soldier,Ford Madox Ford,1915
De Profundis,Oscar Wilde,1905
Beowulf,Unknown,975
American Notes For General Circulation,Charles Dickens,1842
Set in Silver,C.N. Williamson,1909
The Coral Island,R.M. Ballantyne,1857
Planet of the Damned,Harry Harrison,1962
A House to Let,Charles Dickens,1858
Poor Miss Finch,Wilkie Collins,1872
My Bondage and My Freedom,Frederick Douglass,1855
The Red Fairy Book,Andrew Lang,1890
The Mystery of the Yellow Room,Gaston Leroux,1908
The Red House Mystery,A.A. Milne,1922
The Expedition of Humphry Clinker,Tobias Smollett,1771
Aurora Floyd,Mary Elizabeth Braddon,1863
Can You Forgive Her?,Anthony Trollope,1865
Belinda,Maria Edgeworth,1801
Melmoth the Wanderer,Charles Robert Maturin,1820
For the School Colours,Angela Brazil,1918
At Boarding School With the Tucker Twins,Nell Speed,1915
Molly Brown's Freshman Days,Nell Speed,1912
"Betty Wales, Freshman",Margaret Warde,1904
Patty's Summer Days,Carolyn Wells,1906
Patty at Home,Carolyn Wells,1902
Patty's Friends,Carolyn Wells,1908
His Last Bow,Arthur Conan Doyle,1917
The Adventure of the Cardboard Box,Arthur Conan Doyle,1892
Lord Loveland Discovers America,C.N. Williamson,1908
Olive,Dinah Maria Mulock Craik,2000
Anthem,Ayn Rand,1938
Pollyanna,Eleanor H. Porter,1912
Looking Backward: 2000-1887,Edward Bellamy,1888
The Warlord of Mars,Edgar Rice Burroughs,1914
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,1886
The Law and the Lady,Wilkie Collins,1875
The Admirable Crichton,J.M. Barrie,1902
The Merry Adventures of Robin Hood,Howard Pyle,1883
Erewhon,Samuel Butler,1872
"Tom Sawyer, Detective",Mark Twain,1896
The Tale of Jemima Puddle-Duck,Beatrix Potter,1908
The Tale of Johnny Town-Mouse,Beatrix Potter,1918
The Tale of Ginger and Pickles,Beatrix Potter,1909
The Tale of Benjamin Bunny,Beatrix Potter,1904
A House-Boat on the Styx,John Kendrick Bangs,1895
The Mysterious Island,Jules Verne,1874
1984,George Orwell,1949
Buddenbrooks: The Decline of a Family,Thomas Mann,1901
Ozma of Oz,L. Frank Baum,1907
2BR02B,Kurt Vonnegut,1962
Once on a Time,A.A. Milne,1917
The Princess and the Goblin,George MacDonald,1872
At the Back of the North Wind,George MacDonald,1871
The Castle of Otranto,Horace Walpole,1764
Dr. Faustus,Christopher Marlowe,1604
A Doll's House,Henrik Ibsen,1879
The Emerald City of Oz,L. Frank Baum,1910
Dorothy and the Wizard in Oz,L. Frank Baum,1908
The Dawn of a To-Morrow,Frances Hodgson Burnett,1905
Aunt Jane's Nieces,Edith Van Dyne,1906
The Racketty-Packetty House,Frances Hodgson Burnett,1906
The Land of the Blue Flower,Frances Hodgson Burnett,1908
The Romance of a Christmas Card,Kate Douglas Wiggin,1916
Queen Lucia,E.F. Benson,1920
Uneasy Money,P.G. Wodehouse,-1
The Worst Journey in the World,Apsley Cherry-Garrard,1922
The Adventures of Sally,P.G. Wodehouse,1922
Indiscretions of Archie,P.G. Wodehouse,1921
The Man Upstairs and Other Stories,P.G. Wodehouse,1914
Prometheus Bound and Seven Against Thebes,Aeschylus,1897
Riders of the Purple Sage,Zane Grey,1912
Holy Bible: King James Version,Anonymous,2008
Growth of the Soil,Knut Hamsun,1917
Forbidden Fruit: Luscious and Exciting story and More Forbidden Fruit,Anonymous,1898
Joan of Arc,Mark Twain,1896
Lilith,George MacDonald,1895
The House of the Seven Gables,Nathaniel Hawthorne,1851
Collected Poems And Plays (Collected Works Of John Masefield 2 Volumes),John Masefield,2000
Three Lives,Gertrude Stein,2011
The Making of Americans,Gertrude Stein,1925
You Can't Go Home Again,Thomas Wolfe,1940
The Life and Death of Harriett Frean,May Sinclair,1922
The American Frugal Housewife: Dedicated to Those Who Are Not Ashamed of Economy,Lydia Maria Francis Child,1833
Ten Days in a Mad-House,Nellie Bly,1887
"The Rover Boys on the Ocean; or, A Chase for a Fortune",Arthur M. Winfield,1899
Further Arguments in Support of Yudah Cohen’s Proposal to Bluma Zilberman,Rebecca Fraimow,-1
Swift & Company's The Kitchen Encyclopedia,Swift and Company,2017
Rothschild's Fiddle,Anton Chekhov,1917
שני אנטישמים,שלום עליכם,1905
"A Narrative of the Life and Adventures of Venture: A Native of Africa, But Resident Above Sixty Years in the United States of America. Related by Himself",Venture Smith,2017
Woodcraft and Camping,George Washington Sears,1963
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Charles Mackay,2017
La Bête humaine,Émile Zola,1890
The Illustrated Alphabet of Birds,Unknown,2004
"American Cookery: The Art of Dressing Viands, Fish, Poultry, and Vegetables",Amelia Simmons,1796
The Rocking Horse Winner (Travelman Classics),D.H. Lawrence,1926
Old Mother West Wind,Thornton W. Burgess,1910
Among the Meadow People,Clara Dillingham Pierson,2005
Poems - Victor Hugo,Victor Hugo,2017
"The Notebooks of Leonardo da Vinci, Complete",Leonardo da Vinci,1938
The Complete Works of Mary Shelley,Mary Wollstonecraft Shelley,1996
Ramayana,Vālmīki,400
Personal Memoirs,Ulysses S. Grant,1885
Maggie: A Girl of the Streets,Stephen Crane,1892
Confessions of an English Opium Eater,Thomas de Quincey,1821
The Art of Money Getting: Golden Rules for Making Money,P.T. Barnum,1880
The Red Record,Ida B. Wells-Barnett,1895
Enchiridion,Epictetus,125
Der Struwwelpeter,Heinrich Hoffmann,1845
